view_count,page_length,edit_count,page_watchers,page_watchers_recent_edits,page_views_past_30days,redirects,recent_number_of_edits,number_distinct_authors,number_categories
27553446,173313.0,14307.0,836.0,100.0,454984,46,7,6,21
9507587,74610.0,6976.0,612.0,42.0,116715,36,14,8,21
3619895,154373.0,14047.0,1342.0,44.0,41628,57,14,10,21
5537425,86630.0,5830.0,333.0,23.0,56972,21,14,12,21
7352884,72938.0,3246.0,490.0,32.0,64383,10,1,1,22
1027496,32180.0,1951.0,102.0,7.0,9534,11,3,1,22
480374,63808.0,774.0,67.0,16.0,7304,3,2,2,22
1728079,78037.0,2595.0,165.0,16.0,11895,11,5,5,22
18578841,193829.0,13256.0,1567.0,161.0,236993,85,8,7,22
6967163,142751.0,5938.0,539.0,55.0,88985,31,9,8,22
6193344,199197.0,4960.0,594.0,53.0,77509,31,11,8,22
7069041,132565.0,4076.0,362.0,31.0,248298,20,13,8,22
2126780,78657.0,4773.0,268.0,46.0,31239,28,19,10,22
95153,12367.0,576.0,76.0,17.0,823,11,0,0,23
3283177,89153.0,2840.0,371.0,46.0,28736,37,0,0,23
3354167,75480.0,2881.0,358.0,30.0,24793,24,1,1,23
3354167,75480.0,2881.0,358.0,30.0,24793,24,1,1,23
18762374,117690.0,8196.0,1399.0,87.0,191510,124,7,1,23
1353387,54653.0,2623.0,99.0,12.0,11337,13,2,2,23
10508469,82036.0,3829.0,394.0,30.0,52546,25,2,2,23
6069596,125503.0,9388.0,551.0,18.0,71538,29,2,2,23
18209513,163046.0,8790.0,1648.0,103.0,214496,28,19,4,23
14398998,325980.0,22026.0,1025.0,70.0,155250,32,111,7,23
2687828,35413.0,3513.0,213.0,29.0,28008,14,12,9,23
8997565,52514.0,2926.0,313.0,29.0,195754,3,13,9,23
8815357,159479.0,5606.0,502.0,48.0,116314,113,16,12,23
9994129,71248.0,4484.0,412.0,30.0,62819,18,0,0,24
6539452,79083.0,11059.0,732.0,17.0,68786,30,1,1,24
1178755,21954.0,1063.0,90.0,9.0,14235,1,2,2,24
5535875,48157.0,4712.0,352.0,35.0,52390,19,3,3,24
1346220,130966.0,1671.0,239.0,32.0,9728,15,4,3,24
4546163,56643.0,2359.0,88.0,2.0,63236,4,6,3,24
3133240,60793.0,5446.0,424.0,34.0,28455,30,7,3,24
12550508,135891.0,9744.0,976.0,67.0,126058,79,4,4,24
6061062,115007.0,6544.0,139.0,10.0,87318,7,11,7,24
4848897,36566.0,6750.0,202.0,20.0,43220,23,11,10,24
6156869,100788.0,5738.0,331.0,33.0,98848,7,14,12,24
9462167,170580.0,10361.0,1135.0,63.0,91024,35,15,14,24
9667702,188641.0,8050.0,859.0,116.0,77342,66,1,1,25
6784519,84360.0,6548.0,969.0,82.0,61183,31,4,3,25
3373256,136325.0,5157.0,299.0,30.0,30791,113,15,5,25
4871391,62256.0,4130.0,396.0,43.0,36193,17,9,6,25
29533499,178786.0,14248.0,1058.0,83.0,325062,45,20,12,25
14809007,137372.0,11244.0,1050.0,133.0,185798,46,41,27,25
2844497,34152.0,2030.0,401.0,41.0,31046,42,1,1,26
6654314,38131.0,5050.0,387.0,26.0,63056,18,1,1,26
14085482,118984.0,4404.0,633.0,134.0,153485,37,2,2,26
24993509,33729.0,6699.0,751.0,58.0,266155,13,2,2,26
3579902,117406.0,4285.0,404.0,46.0,50428,49,7,4,26
9195389,187676.0,6422.0,550.0,39.0,66018,29,6,6,26
5058797,185123.0,5612.0,174.0,28.0,123240,5,6,6,26
13086559,124466.0,7300.0,625.0,66.0,183680,65,7,6,26
